centrality_value,avg_distance,variance
0.3424295437890215,1.0,0.0
0.3424478977335887,1.8,0.96
0.3424662536457742,2.3333333333333335,0.8888888888888888
0.3425029713742663,1.0,0.0
0.34253969697703,,
0.34255806273205536,3.0,0.0
0.3425764304565986,1.0,0.0
0.34259480015097665,,
0.34261317181550643,,
0.34263154545050484,1.0,0.0
0.34268667818148274,,
0.3427234431936254,1.0,0.0
0.3427418286580958,,
0.3427602160952556,3.0,0.0
0.34277860550542216,1.0,0.0
0.34281539024604624,2.0,1.0
0.34287058216247523,,
0.34288898341735435,1.0,0.0
0.3429073866474648,3.0,0.0
0.3429626081923648,,
0.3430178475258007,,
0.34303626459143965,3.0,0.0
0.34307310465636925,,
0.3430915276562971,1.0,0.0
0.3431099526349586,2.066666666666667,0.9955555555555554
0.3431836723433187,1.0,0.0
0.3432205440781931,,
0.3432574237369346,,
0.34329431132209787,,
0.34331275808788625,,
0.34333120683623863,3.0,0.0
0.3433681102819135,3.0,0.0
0.3434050216616804,2.0,0.0
0.3434419409780983,1.0,0.0
0.3434604036133515,1.7142857142857142,0.20408163265306126
0.3434788682337275,1.5303030303030303,0.2490817263544536
0.3434973348395465,,
0.34351580343112875,1.6666666666666667,0.2222222222222222
0.3435342740087947,1.8,0.9600000000000002
0.3435527465728646,1.0,0.0
0.34357122112365907,2.3333333333333335,0.8888888888888888
0.3435896976614985,,
0.3436081761867034,1.0,0.0
0.3436266566995947,2.4,0.8400000000000001
0.3436451392004929,1.0,0.0
0.3436636236897189,,
0.34368211016759354,,
0.3437005986344378,1.0,0.0
0.34373758153631917,3.0,0.0
0.3437745723979319,,
0.3437930708144406,,
0.34381157122184597,3.0,0.0
0.34384857801063257,,
0.34388559276686387,2.7,0.41
0.3439041031335754,3.0,0.0
0.34395964619195496,,
0.34399668486596474,2.3333333333333335,0.8888888888888888
0.3440152071944628,,
0.34403373151771927,,
0.34407078614979614,,
0.34408931645926133,1.256916996047431,0.364823696667656
0.3441449193652337,,
0.34416345766082546,3.0,0.0
0.34418199795375554,,
0.3442376308198041,,
0.34425617910531625,3.0,0.0
0.34427472938978143,,
0.34431183595686377,2.3333333333333335,0.8888888888888888
0.34433039224012746,,
0.3443675108077165,,
0.3444046373788779,1.6666666666666667,0.8888888888888891
0.3444232036666072,3.0,0.0
0.3444417719562005,,
0.34446034224798167,,
0.3444974888394028,,
0.34453464344346224,,
0.3445718060627529,,
0.3445903903789204,2.4,0.8400000000000001
0.3446089766998686,2.2,0.9600000000000004
0.34464615535740445,,
0.3446647476946412,3.0,0.0
0.3446833420379566,,
0.34470193838767543,,
0.34475773947850014,1.0,0.0
0.3447763438570808,2.4285714285714284,0.816326530612245
0.34479495024368934,1.0,0.0
0.344813558638651,1.0,0.0
0.3448321690422908,,
0.3449438736645915,,
0.345018383627582,,
0.3450556506813331,,
0.34518614879332027,1.0,0.0
0.3452047994389218,1.0,0.0
0.3452421067770217,1.8,0.9600000000000002
0.3452607634701737,,
0.34527942217982943,,
0.34541008963699865,1.0,0.0
0.3454287644904609,,
0.3454848011688511,1.0,0.0
0.3455034841020746,3.0,0.0
0.3455408560311284,,
0.3455969290861451,2.3333333333333335,0.8888888888888888
0.34561562414884583,1.0,0.0
0.3456343212342745,,
0.34565302034275935,,
0.34567172147462877,3.0,0.0
0.34569042463021127,,
0.34570912980983515,1.0,0.0
0.3457652574962422,,
0.3457839707753187,,
0.3458775675625576,1.0,0.0
0.3459150204664626,1.7555555555555555,0.940246913580247
0.3459524814823242,1.0,0.0
0.3460086882218015,3.0,0.0
0.34602742786046164,1.0,0.0
0.3461024067180696,,
0.34612115650986314,1.0,0.0
0.34615866218863106,,
0.3462524619561871,3.0,0.0
0.3462712280101655,,
0.34628999609840455,,
0.34630876622123496,2.6666666666666665,0.5555555555555555
0.34632753837898766,,
0.34636508880058353,,
0.3464026473658406,3.0,0.0
0.3464777889379373,1.0,0.0
0.34651537195007936,,
0.34653416651383434,3.0,0.0
0.3465905624398158,2.3333333333333335,0.8888888888888888
0.34660936516115465,2.3333333333333335,0.8888888888888888
0.3466281699227194,,
0.34664697672484207,,
0.3466657855678548,1.0,0.0
0.34685398632006315,,
0.34689165099443825,,
0.34692932384967223,,
0.34698584847746505,,
0.3470423915271898,,
0.3470800971325274,3.0,0.0
0.3471178109320637,,
0.3471555329284701,2.4,0.24000000000000005
0.3471932631244193,,
0.34721213129805795,,
0.3472687481256422,3.0,0.0
0.3473065029362668,,
0.34732538342025354,,
0.34734426595713624,,
0.34736315054724975,,
0.3473820371909289,,
0.3474198166403243,,
0.34745760430800327,3.0,0.0
0.3474765012245371,,
0.34749540019664765,2.5,0.5833333333333334
0.3475143012246703,1.0,0.0
0.34753320430894064,1.0,0.0
0.34758992590259313,,
0.34760883721521024,1.0,0.0
0.3476277505857535,,
